ZooKeeper JMX enabled by default
Using config: /conf/zoo.cfg
2017-10-24 12:08:19,596 [myid:] - INFO  [main:QuorumPeerConfig@124] - Reading configuration from: /conf/zoo.cfg
2017-10-24 12:08:19,947 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:Environment@100] - Server environment:java.compiler=<NA>
2017-10-24 12:08:19,947 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:Environment@100] - Server environment:os.name=Linux
2017-10-24 12:08:19,947 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:Environment@100] - Server environment:os.arch=amd64
2017-10-24 12:08:19,948 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:Environment@100] - Server environment:os.version=4.4.0-92-generic
2017-10-24 12:08:19,948 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:Environment@100] - Server environment:user.name=zookeeper
2017-10-24 12:08:19,948 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:Environment@100] - Server environment:user.home=/home/zookeeper
2017-10-24 12:08:19,948 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:Environment@100] - Server environment:user.dir=/zookeeper-3.4.9
2017-10-24 12:08:19,950 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:ZooKeeperServer@173] - Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /datalog/version-2 snapdir /data/version-2
2017-10-24 12:08:19,951 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:Leader@361] - LEADING - LEADER ELECTION TOOK - 271
2017-10-24 12:08:19,961 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx2:53762:LearnerHandler@329] - Follower sid: 2 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@60477e01
2017-10-24 12:08:19,964 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx3:53374:LearnerHandler@329] - Follower sid: 1 : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@7836d3f7
2017-10-24 12:08:19,976 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx2:53762:LearnerHandler@384] - Synchronizing with Follower sid: 2 maxCommittedLog=0x0 minCommittedLog=0x0 peerLastZxid=0x0
2017-10-24 12:08:19,976 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx2:53762:LearnerHandler@393] - leader and follower are in sync, zxid=0x0
2017-10-24 12:08:19,976 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx2:53762:LearnerHandler@458] - Sending DIFF
2017-10-24 12:08:19,977 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx3:53374:LearnerHandler@384] - Synchronizing with Follower sid: 1 maxCommittedLog=0x0 minCommittedLog=0x0 peerLastZxid=0x0
2017-10-24 12:08:19,977 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx3:53374:LearnerHandler@393] - leader and follower are in sync, zxid=0x0
2017-10-24 12:08:19,977 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx3:53374:LearnerHandler@458] - Sending DIFF
2017-10-24 12:08:19,988 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx2:53762:LearnerHandler@518] - Received NEWLEADER-ACK message from 2
2017-10-24 12:08:19,988 [myid:3] - INFO  [QuorumPeer[myid=3]/0.0.0.0:2181:Leader@952] - Have quorum of supporters, sids: [ 2,3 ]; starting up and setting last processed zxid: 0x100000000
2017-10-24 12:08:19,991 [myid:3] - INFO  [LearnerHandler-/xx.xxx.x.xx3:53374:LearnerHandler@518] - Received NEWLEADER-ACK message from 1
2017-10-24 12:08:20,577 [myid:3] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /xx.xxx.x.xx3:37752
2017-10-24 12:08:20,583 [myid:3] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /xx.xxx.x.xx3:37752
2017-10-24 12:08:20,585 [myid:3] - INFO  [SyncThread:3:FileTxnLog@203] - Creating new log file: log.100000001
2017-10-24 12:08:20,603 [myid:3] - INFO  [CommitProcessor:3:ZooKeeperServer@673] - Established session 0x35f4e4893160000 with negotiated timeout 6000 for client /xx.xxx.x.xx3:37752
2017-10-24 12:08:20,643 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:create cxid:0x5 zxid:0x100000003 txntype:-1 reqpath:n/a Error Path:/brokers Error:KeeperErrorCode = NoNode for /brokers
2017-10-24 12:08:20,687 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:create cxid:0xb zxid:0x100000007 txntype:-1 reqpath:n/a Error Path:/config Error:KeeperErrorCode = NoNode for /config
2017-10-24 12:08:20,714 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:create cxid:0x13 zxid:0x10000000c txntype:-1 reqpath:n/a Error Path:/admin Error:KeeperErrorCode = NoNode for /admin
2017-10-24 12:08:21,098 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:setData cxid:0x21 zxid:0x100000012 txntype:-1 reqpath:n/a Error Path:/controller_epoch Error:KeeperErrorCode = NoNode for /controller_epoch
2017-10-24 12:08:21,160 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:delete cxid:0x30 zxid:0x100000014 txntype:-1 reqpath:n/a Error Path:/admin/preferred_replica_election Error:KeeperErrorCode = NoNode for /admin/preferred_replica_election
2017-10-24 12:08:21,325 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:create cxid:0x37 zxid:0x100000016 txntype:-1 reqpath:n/a Error Path:/brokers Error:KeeperErrorCode = NodeExists for /brokers
2017-10-24 12:08:21,325 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:create cxid:0x38 zxid:0x100000017 txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
2017-10-24 12:08:21,803 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x15f4e48930e0000 type:create cxid:0x13 zxid:0x100000019 txntype:-1 reqpath:n/a Error Path:/brokers Error:KeeperErrorCode = NodeExists for /brokers
2017-10-24 12:08:21,804 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x15f4e48930e0000 type:create cxid:0x14 zxid:0x10000001a txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
2017-10-24 12:08:21,970 [myid:3] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /xx.xxx.x.xx3:55744
2017-10-24 12:08:21,973 [myid:3] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /xx.xxx.x.xx3:55744
2017-10-24 12:08:21,977 [myid:3] - INFO  [CommitProcessor:3:ZooKeeperServer@673] - Established session 0x35f4e4893160001 with negotiated timeout 6000 for client /xx.xxx.x.xx3:55744
2017-10-24 12:08:22,301 [myid:3] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /xx.xxx.x.xx3:51306
2017-10-24 12:08:22,305 [myid:3] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /xx.xxx.x.xx3:51306
2017-10-24 12:08:22,309 [myid:3] - INFO  [CommitProcessor:3:ZooKeeperServer@673] - Established session 0x35f4e4893160002 with negotiated timeout 6000 for client /xx.xxx.x.xx3:51306
2017-10-24 12:08:22,395 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160001 type:create cxid:0x13 zxid:0x10000001e txntype:-1 reqpath:n/a Error Path:/brokers Error:KeeperErrorCode = NodeExists for /brokers
2017-10-24 12:08:22,396 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160001 type:create cxid:0x14 zxid:0x10000001f txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
2017-10-24 12:08:22,782 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160002 type:create cxid:0x13 zxid:0x100000021 txntype:-1 reqpath:n/a Error Path:/brokers Error:KeeperErrorCode = NodeExists for /brokers
2017-10-24 12:08:22,783 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160002 type:create cxid:0x14 zxid:0x100000022 txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
2017-10-24 12:08:34,974 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:setData cxid:0x52 zxid:0x100000024 txntype:-1 reqpath:n/a Error Path:/config/topics/testchainid Error:KeeperErrorCode = NoNode for /config/topics/testchainid
2017-10-24 12:08:34,979 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:create cxid:0x53 zxid:0x100000025 txntype:-1 reqpath:n/a Error Path:/config/topics Error:KeeperErrorCode = NodeExists for /config/topics
2017-10-24 12:08:35,022 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:create cxid:0x5d zxid:0x100000028 txntype:-1 reqpath:n/a Error Path:/brokers/topics/testchainid/partitions/0 Error:KeeperErrorCode = NoNode for /brokers/topics/testchainid/partitions/0
2017-10-24 12:08:35,026 [myid:3] - INFO  [ProcessThread(sid:3 cport:-1)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x35f4e4893160000 type:create cxid:0x5e zxid:0x100000029 txntype:-1 reqpath:n/a Error Path:/brokers/topics/testchainid/partitions Error:KeeperErrorCode = NoNode for /brokers/topics/testchainid/partitions
