
Setting logging level to DEBUG
2020-10-01 11:26:57.662+00:00 | main | DEBUG | DefaultChannelId | -Dio.netty.machineId: 8a:ed:98:ff:fe:85:48:ee (auto-detected)
2020-10-01 11:26:57.748+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numHeapArenas: 2
2020-10-01 11:26:57.748+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numDirectArenas: 2
2020-10-01 11:26:57.749+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.pageSize: 8192
2020-10-01 11:26:57.749+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxOrder: 11
2020-10-01 11:26:57.749+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.chunkSize: 16777216
2020-10-01 11:26:57.750+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.tinyCacheSize: 512
2020-10-01 11:26:57.750+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.smallCacheSize: 256
2020-10-01 11:26:57.751+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.normalCacheSize: 64
2020-10-01 11:26:57.751+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
2020-10-01 11:26:57.752+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.cacheTrimInterval: 8192
2020-10-01 11:26:57.752+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.cacheTrimIntervalMillis: 0
2020-10-01 11:26:57.753+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.useCacheForAllThreads: true
2020-10-01 11:26:57.754+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
2020-10-01 11:26:57.760+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.allocator.type: pooled
2020-10-01 11:26:57.760+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.threadLocalDirectBufferSize: 0
2020-10-01 11:26:57.761+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.maxThreadLocalCharBufferSize: 16384
2020-10-01 11:26:57.841+00:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /0.0.0.0:30303.
2020-10-01 11:26:57.841+00:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2020-10-01 11:26:57.951+00:00 | vert.x-eventloop-thread-0 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0.0.0.0 and port=30303
2020-10-01 11:26:57.953+00:00 | main | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /0.0.0.0:30303
2020-10-01 11:26:58.051+00:00 | main | DEBUG | RecursivePeerRefreshState | Start peer search.
2020-10-01 11:26:58.054+00:00 | main | DEBUG | RecursivePeerRefreshState | Initiating bonding round with 1 candidates
