Node 1 - (All other nodes are similar and are in sync. Several Blocks committed as part of view 319445 (from block 4168 to 4183) 

INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4177): Got BlockCommit for b5b629e3ab81bdb9bb9fe241793bd2d15fa7c7e1357f11aaafeb0e33dc9ac92e4d92505d05723a5473b154c66194dedf3954c085b97d33c12563d372baf12112
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4178): Got BlockNew: 4178 / 00741da61721504a78ca42cb53a8bd5991acd286f3f6490113ab857d6f6adab052f0fd593cfdc2505c06b919fe74828c853fb07e18b8502930ef0a3523fd870d
INFO  | pbft_engine::node:67 | Got BlockValid: 00741da61721504a78ca42cb53a8bd5991acd286f3f6490113ab857d6f6adab052f0fd593cfdc2505c06b919fe74828c853fb07e18b8502930ef0a3523fd870d
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4178): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4178): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4178): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4178): Got BlockCommit for 00741da61721504a78ca42cb53a8bd5991acd286f3f6490113ab857d6f6adab052f0fd593cfdc2505c06b919fe74828c853fb07e18b8502930ef0a3523fd870d
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4179): Got BlockNew: 4179 / a8915b26c8a2e6211c8d4ec48c1d9727d6ee33dab6fb62fa798344c476bcb95b1e0b97ca402014a99e0bb1508287c2e53c2a22b9b1d399c26584528d523d64cc
INFO  | pbft_engine::node:67 | Got BlockValid: a8915b26c8a2e6211c8d4ec48c1d9727d6ee33dab6fb62fa798344c476bcb95b1e0b97ca402014a99e0bb1508287c2e53c2a22b9b1d399c26584528d523d64cc
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4179): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4179): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4179): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4179): Got BlockCommit for a8915b26c8a2e6211c8d4ec48c1d9727d6ee33dab6fb62fa798344c476bcb95b1e0b97ca402014a99e0bb1508287c2e53c2a22b9b1d399c26584528d523d64cc
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4180): Got BlockNew: 4180 / 56ebe4f052f619f8648aafb5370e07d7ac45278dce20df351f8feab456351a171269d5692e5fa5970010f8d1d41ca85a6e5501f668fde60a3ad7af1f2feb7f08
INFO  | pbft_engine::node:67 | Got BlockValid: 56ebe4f052f619f8648aafb5370e07d7ac45278dce20df351f8feab456351a171269d5692e5fa5970010f8d1d41ca85a6e5501f668fde60a3ad7af1f2feb7f08
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4180): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4180): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4180): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4180): Got BlockCommit for 56ebe4f052f619f8648aafb5370e07d7ac45278dce20df351f8feab456351a171269d5692e5fa5970010f8d1d41ca85a6e5501f668fde60a3ad7af1f2feb7f08
