
Setting logging level to DEBUG
2020-10-01 11:24:57.438+00:00 | main | DEBUG | DefaultChannelId | -Dio.netty.machineId: 36:bd:85:ff:fe:af:0d:8c (auto-detected)
2020-10-01 11:24:57.539+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numHeapArenas: 2
2020-10-01 11:24:57.540+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numDirectArenas: 2
2020-10-01 11:24:57.540+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.pageSize: 8192
2020-10-01 11:24:57.540+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxOrder: 11
2020-10-01 11:24:57.540+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.chunkSize: 16777216
2020-10-01 11:24:57.540+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.tinyCacheSize: 512
2020-10-01 11:24:57.541+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.smallCacheSize: 256
2020-10-01 11:24:57.541+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.normalCacheSize: 64
2020-10-01 11:24:57.541+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
2020-10-01 11:24:57.541+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.cacheTrimInterval: 8192
2020-10-01 11:24:57.541+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.cacheTrimIntervalMillis: 0
2020-10-01 11:24:57.541+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.useCacheForAllThreads: true
2020-10-01 11:24:57.541+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
2020-10-01 11:24:57.602+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.allocator.type: pooled
2020-10-01 11:24:57.603+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.threadLocalDirectBufferSize: 0
2020-10-01 11:24:57.603+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.maxThreadLocalCharBufferSize: 16384
2020-10-01 11:24:57.622+00:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /0.0.0.0:30303.
2020-10-01 11:24:57.623+00:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2020-10-01 11:24:57.820+00:00 | vert.x-eventloop-thread-0 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0.0.0.0 and port=30303
2020-10-01 11:24:57.822+00:00 | main | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /0.0.0.0:30303
2020-10-01 11:24:57.917+00:00 | main | DEBUG | RecursivePeerRefreshState | Start peer search.
2020-10-01 11:24:57.920+00:00 | main | DEBUG | RecursivePeerRefreshState | Initiating bonding round with 1 candidates
2020-10-01 11:24:57.933+00:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926@127.0.0.1:30303
2020-10-01 11:24:57.933+00:00 | main | INFO  | DefaultP2PNetwork | Node address 0x66ee85307ab5fb944e25f4b0da61b8048c45c57e
2020-10-01 11:24:58.001+00:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2020-10-01 11:24:58.010+00:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2020-10-01 11:24:58.018+00:00 | main | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 0
2020-10-01 11:24:58.027+00:00 | main | DEBUG | WaitForPeerTask | Waiting for new peer connection. 0 peers currently connected.
2020-10-01 11:24:58.208+00:00 | vert.x-eventloop-thread-0 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkAccessible: true
2020-10-01 11:24:58.213+00:00 | vert.x-eventloop-thread-0 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkBounds: true
2020-10-01 11:24:58.233+00:00 | vert.x-eventloop-thread-0 | DEBUG | ResourceLeakDetectorFactory | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@3f9f7fbf
2020-10-01 11:24:58.324+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.maxCapacityPerThread: 4096
2020-10-01 11:24:58.325+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.maxSharedCapacityFactor: 2
2020-10-01 11:24:58.326+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.linkCapacity: 16
2020-10-01 11:24:58.327+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.ratio: 8
2020-10-01 11:25:01.026+00:00 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 0.0.0.0:8545
2020-10-01 11:25:01.128+00:00 | vert.x-eventloop-thread-0 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 0.0.0.0:8545
2020-10-01 11:25:01.129+00:00 | main | INFO  | WebSocketService | Starting Websocket service on 0.0.0.0:8546
2020-10-01 11:25:01.132+00:00 | vert.x-eventloop-thread-0 | INFO  | WebSocketService | Websocket service started and listening on 0.0.0.0:8546
2020-10-01 11:25:01.133+00:00 | main | INFO  | MetricsHttpService | Starting metrics http service on 0.0.0.0:9545
2020-10-01 11:25:01.203+00:00 | vert.x-eventloop-thread-0 | INFO  | MetricsHttpService | Metrics service started and listening on 9545:9545
2020-10-01 11:25:01.206+00:00 | main | INFO  | Runner | Ethereum main loop is up.
2020-10-01 11:25:01.217+00:00 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2020-10-01 11:25:01.586+00:00 | vert.x-eventloop-thread-0 | DEBUG | ZlibCodecFactory | -Dio.netty.noJdkZlibDecoder: false
2020-10-01 11:25:01.587+00:00 | vert.x-eventloop-thread-0 | DEBUG | ZlibCodecFactory | -Dio.netty.noJdkZlibEncoder: false
2020-10-01 11:25:01.608+00:00 | vert.x-eventloop-thread-0 | DEBUG | WebSocketService | Websocket Connected (host=10.0.3.166, port=34226)
2020-10-01 11:25:01.619+00:00 | vert.x-eventloop-thread-0 | DEBUG | WebSocketServerHandshaker | [id: 0x4163751b, L:/10.0.0.122:8546 - R:/10.0.3.166:34226] WebSocket version V13 server handshake
