
Setting logging level to DEBUG
2020-10-01 11:24:51.447+00:00 | main | DEBUG | DefaultChannelId | -Dio.netty.machineId: 32:77:1f:ff:fe:6d:b1:13 (auto-detected)
2020-10-01 11:24:51.561+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numHeapArenas: 2
2020-10-01 11:24:51.561+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numDirectArenas: 2
2020-10-01 11:24:51.561+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.pageSize: 8192
2020-10-01 11:24:51.561+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxOrder: 11
2020-10-01 11:24:51.562+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.chunkSize: 16777216
2020-10-01 11:24:51.562+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.tinyCacheSize: 512
2020-10-01 11:24:51.562+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.smallCacheSize: 256
2020-10-01 11:24:51.563+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.normalCacheSize: 64
2020-10-01 11:24:51.564+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
2020-10-01 11:24:51.564+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.cacheTrimInterval: 8192
2020-10-01 11:24:51.565+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.cacheTrimIntervalMillis: 0
2020-10-01 11:24:51.565+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.useCacheForAllThreads: true
2020-10-01 11:24:51.568+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
2020-10-01 11:24:51.612+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.allocator.type: pooled
2020-10-01 11:24:51.612+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.threadLocalDirectBufferSize: 0
2020-10-01 11:24:51.613+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.maxThreadLocalCharBufferSize: 16384
2020-10-01 11:24:51.643+00:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /0.0.0.0:30303.
2020-10-01 11:24:51.644+00:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2020-10-01 11:24:51.804+00:00 | vert.x-eventloop-thread-0 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0.0.0.0 and port=30303
2020-10-01 11:24:51.807+00:00 | main | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /0.0.0.0:30303
2020-10-01 11:24:51.905+00:00 | main | DEBUG | RecursivePeerRefreshState | Start peer search.
2020-10-01 11:24:51.908+00:00 | main | DEBUG | RecursivePeerRefreshState | Initiating bonding round with 1 candidates
2020-10-01 11:24:51.920+00:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://3b00772a2764dfa2c352adffed512c561d6475bcf9c79449282ef9afb54f77f00caf7e5b7bdbfb2bb7daf16881aac3891acc2c0e5d93376886a1e7784b3f0dd7@127.0.0.1:30303
2020-10-01 11:24:51.921+00:00 | main | INFO  | DefaultP2PNetwork | Node address 0x76a42186f5e0a804937a8101d0eb6e63a0480a37
2020-10-01 11:24:51.927+00:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2020-10-01 11:24:51.930+00:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2020-10-01 11:24:51.999+00:00 | main | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 0
2020-10-01 11:24:52.009+00:00 | main | DEBUG | WaitForPeerTask | Waiting for new peer connection. 0 peers currently connected.
2020-10-01 11:24:52.299+00:00 | vert.x-eventloop-thread-0 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkAccessible: true
2020-10-01 11:24:52.304+00:00 | vert.x-eventloop-thread-0 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkBounds: true
2020-10-01 11:24:52.305+00:00 | vert.x-eventloop-thread-0 | DEBUG | ResourceLeakDetectorFactory | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@4e59b482
2020-10-01 11:24:52.417+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.maxCapacityPerThread: 4096
2020-10-01 11:24:52.417+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.maxSharedCapacityFactor: 2
2020-10-01 11:24:52.418+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.linkCapacity: 16
2020-10-01 11:24:52.418+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.ratio: 8
2020-10-01 11:24:55.098+00:00 | main | INFO  | JsonRpcHttpService | Starting JSON-RPC service on 0.0.0.0:8545
2020-10-01 11:24:55.171+00:00 | vert.x-eventloop-thread-0 | INFO  | JsonRpcHttpService | JSON-RPC service started and listening on 0.0.0.0:8545
2020-10-01 11:24:55.201+00:00 | main | INFO  | WebSocketService | Starting Websocket service on 0.0.0.0:8546
2020-10-01 11:24:55.212+00:00 | vert.x-eventloop-thread-0 | INFO  | WebSocketService | Websocket service started and listening on 0.0.0.0:8546
2020-10-01 11:24:55.213+00:00 | main | INFO  | MetricsHttpService | Starting metrics http service on 0.0.0.0:9545
2020-10-01 11:24:55.217+00:00 | vert.x-eventloop-thread-0 | INFO  | MetricsHttpService | Metrics service started and listening on 9545:9545
2020-10-01 11:24:55.220+00:00 | main | INFO  | Runner | Ethereum main loop is up.
2020-10-01 11:24:55.242+00:00 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2020-10-01 11:24:56.920+00:00 | vert.x-eventloop-thread-0 | DEBUG | RecursivePeerRefreshState | Bonding round timed out
2020-10-01 11:24:56.922+00:00 | vert.x-eventloop-thread-0 | DEBUG | RecursivePeerRefreshState | Iterative peer search complete.  1 peers processed over 1 rounds.
2020-10-01 11:24:57.032+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 0
2020-10-01 11:24:57.036+00:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 0 peers currently connected.
2020-10-01 11:25:02.031+00:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /10.1.0.223:30303.
2020-10-01 11:25:02.038+00:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 0
2020-10-01 11:25:02.038+00:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 0 peers currently connected.
2020-10-01 11:25:02.314+00:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2020-10-01 11:25:02.351+00:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2020-10-01 11:25:02.399+00:00 | nioEventLoopGroup-3-2 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2020-10-01 11:25:02.405+00:00 | nioEventLoopGroup-3-2 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2020-10-01 11:25:02.411+00:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, IBF/1], port=30303, nodeId=0x89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926}
2020-10-01 11:25:02.413+00:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
