
Setting logging level to DEBUG
2020-10-01 11:22:39.093+00:00 | main | DEBUG | DefaultChannelId | -Dio.netty.machineId: c6:6d:dc:ff:fe:b3:ee:11 (auto-detected)
2020-10-01 11:22:39.190+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numHeapArenas: 2
2020-10-01 11:22:39.191+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numDirectArenas: 2
2020-10-01 11:22:39.191+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.pageSize: 8192
2020-10-01 11:22:39.191+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxOrder: 11
2020-10-01 11:22:39.192+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.chunkSize: 16777216
2020-10-01 11:22:39.192+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.tinyCacheSize: 512
2020-10-01 11:22:39.193+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.smallCacheSize: 256
2020-10-01 11:22:39.193+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.normalCacheSize: 64
2020-10-01 11:22:39.193+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxCachedBufferCapacity: 32768
2020-10-01 11:22:39.194+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.cacheTrimInterval: 8192
2020-10-01 11:22:39.194+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.cacheTrimIntervalMillis: 0
2020-10-01 11:22:39.194+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.useCacheForAllThreads: true
2020-10-01 11:22:39.195+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
2020-10-01 11:22:39.203+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.allocator.type: pooled
2020-10-01 11:22:39.204+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.threadLocalDirectBufferSize: 0
2020-10-01 11:22:39.204+00:00 | main | DEBUG | ByteBufUtil | -Dio.netty.maxThreadLocalCharBufferSize: 16384
2020-10-01 11:22:39.280+00:00 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /0.0.0.0:30303.
2020-10-01 11:22:39.281+00:00 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303
2020-10-01 11:22:39.397+00:00 | vert.x-eventloop-thread-0 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0.0.0.0 and port=30303
